""	Project	Run_accession	Treatment	Author	Fungicide_type	Duration	Dose
SRR22014945	P4	SRR22014945	Treated	Sim et al., 2254	Triazole	45	2
SRR22014946	P4	SRR22014946	Treated	Sim et al., 2252	Triazole	45	2
SRR22014947	P4	SRR22014947	Treated	Sim et al., 2239	Triazole	45	2
SRR22014948	P4	SRR22014948	Treated	Sim et al., 2228	Triazole	45	2
SRR22014949	P4	SRR22014949	Treated	Sim et al., 2226	Triazole	45	2
SRR22014951	P4	SRR22014951	Treated	Sim et al., 2213	Triazole	45	2
SRR22014952	P4	SRR22014952	Treated	Sim et al., 2202	Triazole	45	2
SRR22014953	P4	SRR22014953	Treated	Sim et al., 2200	Triazole	45	2
SRR22014954	P4	SRR22014954	Treated	Sim et al., 2187	Triazole	45	2
SRR22014955	P4	SRR22014955	Treated	Sim et al., 2176	Triazole	45	2
SRR22014956	P4	SRR22014956	Treated	Sim et al., 2174	Triazole	45	2
SRR22014957	P4	SRR22014957	Treated	Sim et al., 2161	Triazole	45	2
SRR22014958	P4	SRR22014958	Treated	Sim et al., 2150	Triazole	45	2
SRR22014959	P4	SRR22014959	Treated	Sim et al., 2148	Triazole	45	2
SRR22014960	P4	SRR22014960	Treated	Sim et al., 2135	Triazole	45	2
SRR22014962	P4	SRR22014962	Treated	Sim et al., 2124	Triazole	45	2
SRR22014963	P4	SRR22014963	Treated	Sim et al., 2122	Triazole	45	2
SRR22014964	P4	SRR22014964	Treated	Sim et al., 2109	Triazole	45	2
SRR22014965	P4	SRR22014965	Control	Sim et al., 2094	Triazole	45	2
SRR22014966	P4	SRR22014966	Control	Sim et al., 2092	Triazole	45	2
SRR22014967	P4	SRR22014967	Control	Sim et al., 2079	Triazole	45	2
SRR22014968	P4	SRR22014968	Control	Sim et al., 2070	Triazole	45	2
SRR22014969	P4	SRR22014969	Control	Sim et al., 2068	Triazole	45	2
SRR22014970	P4	SRR22014970	Control	Sim et al., 2055	Triazole	45	2
SRR22014971	P4	SRR22014971	Control	Sim et al., 2046	Triazole	45	2
SRR22014973	P4	SRR22014973	Control	Sim et al., 2044	Triazole	45	2
SRR22014974	P4	SRR22014974	Control	Sim et al., 2031	Triazole	45	2
SRR22015245	P4	SRR22015245	Treated	Sim et al., 2127	Triazole	45	2
SRR22015246	P4	SRR22015246	Treated	Sim et al., 2119	Triazole	45	2
SRR22015247	P4	SRR22015247	Treated	Sim et al., 2106	Triazole	45	2
SRR22015248	P4	SRR22015248	Treated	Sim et al., 2101	Triazole	45	2
SRR22015249	P4	SRR22015249	Control	Sim et al., 2089	Triazole	45	2
SRR22015261	P4	SRR22015261	Treated	Sim et al., 2233	Triazole	45	2
SRR22015262	P4	SRR22015262	Treated	Sim et al., 2248	Triazole	45	2
SRR22015263	P4	SRR22015263	Treated	Sim et al., 2241	Triazole	45	2
SRR22015264	P4	SRR22015264	Treated	Sim et al., 2207	Triazole	45	2
SRR22015265	P4	SRR22015265	Treated	Sim et al., 2222	Triazole	45	2
SRR22015266	P4	SRR22015266	Treated	Sim et al., 2215	Triazole	45	2
SRR22015267	P4	SRR22015267	Treated	Sim et al., 2181	Triazole	45	2
SRR22015269	P4	SRR22015269	Treated	Sim et al., 2196	Triazole	45	2
SRR22015270	P4	SRR22015270	Treated	Sim et al., 2189	Triazole	45	2
SRR22015271	P4	SRR22015271	Treated	Sim et al., 2155	Triazole	45	2
SRR22015272	P4	SRR22015272	Treated	Sim et al., 2170	Triazole	45	2
SRR22015273	P4	SRR22015273	Treated	Sim et al., 2163	Triazole	45	2
SRR22015417	P4	SRR22015417	Treated	Sim et al., 2166	Triazole	45	2
SRR22015418	P4	SRR22015418	Treated	Sim et al., 2133	Triazole	45	2
SRR22015419	P4	SRR22015419	Control	Sim et al., 2097	Triazole	45	2
SRR22015420	P4	SRR22015420	Control	Sim et al., 2095	Triazole	45	2
SRR22015425	P4	SRR22015425	Treated	Sim et al., 2256	Triazole	45	2
SRR22015426	P4	SRR22015426	Treated	Sim et al., 2230	Triazole	45	2
SRR22015427	P4	SRR22015427	Treated	Sim et al., 2204	Triazole	45	2
SRR22015428	P4	SRR22015428	Treated	Sim et al., 2178	Triazole	45	2
SRR22015429	P4	SRR22015429	Treated	Sim et al., 2152	Triazole	45	2
SRR22015430	P4	SRR22015430	Treated	Sim et al., 2126	Triazole	45	2
SRR22015431	P4	SRR22015431	Control	Sim et al., 2100	Triazole	45	2
SRR22015433	P4	SRR22015433	Control	Sim et al., 2098	Triazole	45	2
SRR22015434	P4	SRR22015434	Control	Sim et al., 2096	Triazole	45	2
SRR22015602	P4	SRR22015602	Control	Sim et al., 2071	Triazole	45	2
SRR22015603	P4	SRR22015603	Control	Sim et al., 2065	Triazole	45	2
SRR22015604	P4	SRR22015604	Control	Sim et al., 2052	Triazole	45	2
SRR22015605	P4	SRR22015605	Control	Sim et al., 2047	Triazole	45	2
SRR22015606	P4	SRR22015606	Control	Sim et al., 2041	Triazole	45	2
SRR22015607	P4	SRR22015607	Control	Sim et al., 2028	Triazole	45	2
SRR22015608	P4	SRR22015608	Control	Sim et al., 2023	Triazole	45	2
SRR22015619	P4	SRR22015619	Treated	Sim et al., 2238	Triazole	45	2
SRR22015620	P4	SRR22015620	Treated	Sim et al., 2242	Triazole	45	2
SRR22015621	P4	SRR22015621	Treated	Sim et al., 2246	Triazole	45	2
SRR22015623	P4	SRR22015623	Treated	Sim et al., 2212	Triazole	45	2
SRR22015624	P4	SRR22015624	Treated	Sim et al., 2216	Triazole	45	2
SRR22015625	P4	SRR22015625	Treated	Sim et al., 2144	Triazole	45	2
SRR22015626	P4	SRR22015626	Treated	Sim et al., 2137	Triazole	45	2
SRR22015698	P4	SRR22015698	Treated	Sim et al., 2234	Triazole	45	2
SRR22015699	P4	SRR22015699	Treated	Sim et al., 2243	Triazole	45	2
SRR22015700	P4	SRR22015700	Treated	Sim et al., 2245	Triazole	45	2
SRR22015702	P4	SRR22015702	Treated	Sim et al., 2208	Triazole	45	2
SRR22015703	P4	SRR22015703	Treated	Sim et al., 2217	Triazole	45	2
SRR22015704	P4	SRR22015704	Treated	Sim et al., 2219	Triazole	45	2
SRR22015705	P4	SRR22015705	Treated	Sim et al., 2182	Triazole	45	2
SRR22015706	P4	SRR22015706	Treated	Sim et al., 2191	Triazole	45	2
SRR22015707	P4	SRR22015707	Treated	Sim et al., 2193	Triazole	45	2
SRR22015708	P4	SRR22015708	Treated	Sim et al., 2156	Triazole	45	2
SRR22015709	P4	SRR22015709	Treated	Sim et al., 2165	Triazole	45	2
SRR22015714	P4	SRR22015714	Treated	Sim et al., 2255	Triazole	45	2
SRR22015715	P4	SRR22015715	Treated	Sim et al., 2229	Triazole	45	2
SRR22015716	P4	SRR22015716	Treated	Sim et al., 2203	Triazole	45	2
SRR22015717	P4	SRR22015717	Treated	Sim et al., 2177	Triazole	45	2
SRR22015718	P4	SRR22015718	Treated	Sim et al., 2151	Triazole	45	2
SRR22015719	P4	SRR22015719	Treated	Sim et al., 2125	Triazole	45	2
SRR22015720	P4	SRR22015720	Control	Sim et al., 2099	Triazole	45	2
SRR22015724	P4	SRR22015724	Treated	Sim et al., 2249	Triazole	45	2
SRR22015725	P4	SRR22015725	Treated	Sim et al., 2236	Triazole	45	2
SRR22015726	P4	SRR22015726	Treated	Sim et al., 2231	Triazole	45	2
SRR22015727	P4	SRR22015727	Treated	Sim et al., 2223	Triazole	45	2
SRR22015728	P4	SRR22015728	Treated	Sim et al., 2210	Triazole	45	2
SRR22015729	P4	SRR22015729	Treated	Sim et al., 2205	Triazole	45	2
SRR22015730	P4	SRR22015730	Treated	Sim et al., 2197	Triazole	45	2
SRR22015731	P4	SRR22015731	Treated	Sim et al., 2184	Triazole	45	2
SRR22015732	P4	SRR22015732	Treated	Sim et al., 2179	Triazole	45	2
SRR22015734	P4	SRR22015734	Treated	Sim et al., 2171	Triazole	45	2
SRR22015735	P4	SRR22015735	Treated	Sim et al., 2158	Triazole	45	2
SRR22015736	P4	SRR22015736	Treated	Sim et al., 2153	Triazole	45	2
SRR22015737	P4	SRR22015737	Treated	Sim et al., 2145	Triazole	45	2
